Category,description,when caught,error
syntax error,tried to use dchar instead of char,compile time,sentences.d(9): Error: cannot implicitly convert expression (dup(cast(const(char)[])input)) of type char[] to dchar[]
syntax error,tried to convert string to d string,compile time,"error: undefined identifier inputd, did you mean variable input?"
syntax error,used double quotes instead of single,compile time,"sentences.d(16): Error: incompatible types for ((inp[cast(ulong)i]) == (""!"")): 'char' and 'string'"
syntax error,used double quotes instead of single,compile time,"sentences.d(16): Error: incompatible types for ((inp[cast(ulong)(i + 1)]) == ("" "")): 'char' and Ôstring'"
logic error,iterated one time to many,run time,core.exception.RangeError@sentences.d(16): Range violation
logic error,iterated one time to many,run time,core.exception.RangeError@sentences.d(20): Range violation
syntax error,missed one parenthesis closing,compile time,sentences.d(33): Error: found ')' instead of statement
syntax error,used = < instead of <=,compile time,"sentences.d(33): Error: expression expected, not '<'"
syntax error,missed one parenthesis closing,compile time,sentences.d(33): Error: found ')' instead of statement
syntax error,parenthesis in wrong place,compile time,"sentences.d(24): Error: basic type expected, not ("
